YEAR,TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,COUNTY,ST,BIA_CODE,TRIBE,FEDERAL_FACILITY,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,Location 1
01/01/2002 12:00:00 AM,00692CRBGPSTATA,CARIBE GE FABRICATION INC,STATE RD 2 KM 30.9,VEGA ALTA,PR,,,NO,3451,3451,3089,,,,326000,326000,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,5,5,0,0,0,0,0,0,,,0,10,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,10,8,,,,,,,,,,,8,0,0.7,GE CO,1367960,"(18.414392, -66.322947)"
01/01/2002 12:00:00 AM,00612PRPCMPR681,PREPA-CAMBALACHE COMBUSTION TURBINE PLANT,PR-681 KM. 0.5,ARECIBO,PR,,,NO,4911,4911,,,,,221112,221112,,,,,1.30E+12,"BENZO(G,H,I)PERYLENE",191242,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0.6,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,0.6,,,,,,,,,,,0.6,0,0.82,PUERTO RICO ELECTRIC POWER AUTHORITY,90034703,"(18.4732, -66.6999)"
01/01/2002 12:00:00 AM,00757PRDCT116CA,PRODUCTOS ELECTRONICOS INDUSTRIALES (PEI),116 MUNOZ RIVERA ST,SANTA ISABEL,PR,,,NO,3679,3679,,,,,334418,334418,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,3,0.3,0,0,0,0,0,0,0,,,0,3.3,0,,0,,,,,,,,,,,,,,,,,,0,,502,,,,502,,,0,0,,,0,0,0,0,3.3,3.3,,,,,,,,502,,,505.3,,1.1,NORTHROP GRUMMAN SYSTEMS CORP,8255408,"(17.969722, -66.423889)"
01/01/2002 12:00:00 AM,00701CYNMDPRROA,BASF AGRICULTURAL PRODUCTS DE PUERTO RICO,STATE RD PR 2 KM 47.4,MANATI,PR,,,NO,2869,2869,,,,,325311,325311,,,,,1.30E+12,FORMALDEHYDE,50000,YES,TRI,NO,0,YES,R,Pounds,0,597,0,0,0,0,0,0,0,,,0,597,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,40,,0,0,0,40,597,597,,,,,,,,,,40,637,0,0,BASF CORP,71014385,"(18.437222, -66.475388)"
01/01/2002 12:00:00 AM,00655LTSDLSTATE,LATAS DE ALUMINIO BALL INC,STATE RD #3 KM 1408,GUAYAMA,PR,,,NO,3411,3411,NA,,,,332431,332431,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,0.08,,0.08,,,,,,,,,,,1.72,,,,,,,1.72,,,,,,0,,,0,0,,,0,0,0,0,1.8,1.8,,,,,,,,,,,1.8,,1.16,BALL CORP,6419147,"(17.960801, -66.13461)"
01/01/2002 12:00:00 AM,00656DCRBNBOMAG,PREPA-SOUTH COAST POWER PLANT,PR-127 KM 15.7,GUAYANILLA,PR,,,NO,4911,4911,,,,,221112,221112,,,,,1.30E+12,"BENZO(G,H,I)PERYLENE",191242,YES,PBT,NO,0,YES,R,Pounds,0,0.69,0,0,0,0,0,0,0,,,0,0.69,,0,0,,,,,,,,,,,,,0,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0.69,0.69,,,,,,,,,,,0.69,0,0.87,PUERTO RICO ELECTRIC POWER AUTHORITY,90034703,"(18.0001, -66.7536)"
01/01/2002 12:00:00 AM,00926SHLLCRD28P,SHELL CO (PR) LTD,RD 28 PUEBLO VIEJO WARD,GUAYNABO,PR,,,NO,5171,5171,,,,,424710,424710,,,,,1.30E+12,BENZENE,71432,YES,TRI,NO,0,YES,R,Pounds,1500,0,0,0,0,0,0,0,0,,,0,1500,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,1500,1500,,,,,,,,,,,1500,,0,NA,NA,"(18.42833, -66.10722)"
01/01/2002 12:00:00 AM,00640WSTNGROADN,EATON ELECTRICAL OF PUERTO RICO INC,RD 14 KM. 32,COAMO,PR,,,NO,3625,3625,,,,,335314,335314,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,,0,,25,,,,25,,,0,0,,,0,0,0,0,0,,,,,,,,,30,,,30,,0.98,EATON CORP,830991832,"(18.06955, -66.362308)"
01/01/2002 12:00:00 AM,00620NTLLSDSTRE,ANTILLES ELECTROPLATING INC,D ST # 466 MINILLAS INDL. PARK,BAYAMON,PR,,,NO,3471,3471,,,,,332813,332813,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,,,,,,,,,,,,0,,0.55,NA,NA,"(18.375505, -66.141833)"
01/01/2002 12:00:00 AM,00714STRYKRD3KM,STRYKER PR LTD,HWY #3 KM. 131.2,ARROYO,PR,,,NO,3842,3842,,,,,339113,339113,,,,,1.30E+12,NICKEL,7440020,YES,TRI,YES,1,YES,A,Pounds,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,,,,,,,,,,,,0,,,STRYKER,,"(17.974701, -66.045777)"
