"stamp","created_at","reason","residency","language"
"6885","2015-06-07T10:06:14.000","Empleo","PR.SJ, PR","spanish"
"6884","2015-06-07T10:05:32.000","Estudios","PR.SJ, PR","spanish"
"6883","2015-06-07T10:00:41.000","Empleo","PR.CN, PR","spanish"
"6882","2015-06-07T09:59:17.000","Vivienda","PR.SB, PR","spanish"
"6881","2015-06-07T09:57:27.000","Empleo","PR.AL, PR","spanish"
"6880","2015-06-07T09:53:58.000","Empleo","PR.CN, PR","spanish"
"6879","2015-06-07T09:53:53.000","Empleo","PR.DO, PR","spanish"
"6878","2015-06-07T09:47:23.000","Empleo","PR.PO, PR","spanish"
"6877","2015-06-07T09:47:14.000","Empleo","PR.TJ, PR","spanish"
"6876","2015-06-07T09:46:11.000","Estudios","PR.AC, PR","spanish"
"6875","2015-06-07T09:46:07.000","Empleo","PR.LP, PR","spanish"
"6874","2015-06-07T09:41:18.000","Estudios","PR.HA, PR","spanish"
"6873","2015-06-07T09:41:13.000","Empleo","PR.AJ, PR","spanish"
"6872","2015-06-07T09:40:52.000","Otros...","PR.MG, PR","spanish"
"6871","2015-06-07T09:28:48.000","Empleo","PR.TB, PR","spanish"
"6870","2015-06-07T09:28:01.000","Empleo","PR.CG, PR","spanish"
"6869","2015-06-07T09:26:08.000","Empleo","PR.LJ, PR","spanish"
"6868","2015-06-07T09:26:03.000","Residencia","PR.TA, PR","spanish"
"6867","2015-06-07T09:16:46.000","Empleo","PR.CG, PR","spanish"
"6866","2015-06-07T09:14:58.000","Residencia","PR.SJ, PR","spanish"
"6865","2015-06-07T09:10:07.000","Empleo","PR.CV, PR","spanish"
"6864","2015-06-07T09:05:19.000","Otros...","PR.FJ, PR","spanish"
"6863","2015-06-07T09:03:03.000","Empleo","PR.FJ, PR","spanish"
"6862","2015-06-07T08:55:14.000","Otros...","PR.AB, PR","spanish"
"6861","2015-06-07T08:53:16.000","Otros...","PR.AB, PR","spanish"
"6860","2015-06-07T08:53:15.000","Otros...","PR.AB, PR","spanish"
"6859","2015-06-07T08:44:22.000","Estudios","PR.SJ, PR","spanish"
"6858","2015-06-07T08:42:48.000","Empleo","PR.CV, PR","spanish"
"6857","2015-06-07T08:30:52.000","Empleo","PR.GL, PR","spanish"
"6856","2015-06-07T08:22:15.000","Licencia de Armas","PR.CD, PR","spanish"
"6855","2015-06-07T08:18:55.000","Empleo","PR.CG, PR","spanish"
