"num_aep","edificios","municipio","regi_n","direcci_n_f_sica","latitud","longitud","location"
"2035","FISCALÍA DE AGUADILLA","AGUADILLA","ADMINISTRADOR","CALLE PROGRESO NÚM. 10, AGUADILLA, P.R.","18.4255585803","-67.1545321686","(18.425559, -67.154532)"
"4210","TRIBUNAL DISTRITO","COAMO","GUAYAMA","CARR. 150, KM 19, COAMO, P.R.","18.0804637326","-66.3626104258","(18.080464, -66.36261)"
"8696","ESCUELA LA GLORIA","TRUJILLO ALTO","CAROLINA","Carr. 851 Km. 9.1, Bo. La Gloria, Trujillo Alto, P.R.","18.3203619013","-66.0072464258","(18.320362, -66.007246)"
"8731","ESCUELA URBANA - VIEQUES","VIEQUES","HUMACAO","Carr. PR 993 Km. 2.0 Carr. 200 Bo. Café, Vieques, P.R.","18.1439009834","-65.4460559449","(18.143901, -65.446056)"
"2320","CENTRO GUBERNAMENTAL","HATILLO","ARECIBO","CARRETERA 119, AVE. DR. SUSONI CARR. 119 KM. 9, AL FRENTE DEL CUARTEL ESTATAL, HATILLO, P.R.","18.4860299996","-66.8274400019","(18.48603, -66.82744)"
"8561","ESCUELA JULIO ALVARADO","PONCE","PONCE","Urb. Jardines del Caribe, Calle 15 Esq. 13 Final, Box 10091, Ponce, PR 00731","18.0092158473","-66.6446140591","(18.009216, -66.644614)"
"3100","CUARTEL DE LA POLICÍA","BARRANQUITAS","BAYAMÓN","CARR. #719 BARRANQUITAS, P.R.","18.1848734884","-66.3061268086","(18.184873, -66.306127)"
"8594","ESCUELA ALTURAS DE RÍO GRANDE","RÍO GRANDE","CAROLINA","Calle 17A Esq. 20, Urb. Alturas  Río Grande, Río Grande, P.R.","18.3755004754","-65.8477693186","(18.3755, -65.847769)"
"8047","ESCUELA RAFAEL NICOLAS","AGUAS BUENAS","CAGUAS","CALLE MONSERRATE FINAL, SECTOR LA ARAÑA, AGUAS BUENAS, PR 00703","18.2522516671","-66.1058549982","(18.252252, -66.105855)"
"8145","ESCUELA SANTIAGO R. PALMER","CAMUY","AGUADILLA","CARR. 486, KM 1.5, BO. QUEBRADAS, CAMUY, PR 00626 ","18.3677640148","-66.83296484","(18.367764, -66.832965)"
"8970","ESCUELA PEDRO ALBIZU CAMPOS","PONCE","PONCE","Carretera 2 Km. 22.1 El Tuque, Ponce, PR 00731-7610","17.9818351261","-66.6622414111","(17.981835, -66.662241)"
"8241","ESCUELA ECOLOGICA DE CULEBRA","CULEBRA","HUMACAO","Carr. PR-250 Esq. Ave. Muñoz Rivera Barrio Playa Sardina 2, Culebra, PR","18.3077049338","-65.3027446287","(18.307705, -65.302745)"
