"table_id","codigo","escuela","region","distrito","municipio_escolar","direccio_fisica","direccion_municipio","direccio_estado","direccion_zipcode","geolocalizacion","telefono","fax","director","zona","estatus_actual","nivel_original","grados_original","grados_posterior","matricula_total","grado_infant","grado_toddler","grado_pk","grado_pke","grado_pkm","grado_k","grado_1","grado_2","grado_3","grado_4","grado_5","grado_6","grado_sge","grado_7","grado_8","grado_9","grado_sgi","grado_10","grado_11","grado_12","grado_sgs","espa_ol_proficiente_avanzado","espa_ol_pre_b_sico","espa_ol_b_sico","espa_ol_proficiente","espa_ol_avanzado","matem_ticas_proficiente_avanzado","matem_ticas_pre_b_sico","matem_ticas_b_sico","matem_ticas_proficiente","matem_ticas_avanzado","ingl_s_proficiente_avanzado","ingl_s_pre_b_sico","ingl_s_b_sico","ingl_s_proficiente","ingl_s_avanzado","bajo_nivel_pobreza"
"666","42242","LUIS MUNOZ RIVERA","MAYAGUEZ","MAYAGUEZ","MAYAGUEZ","CALLE ANTONIO CRUZ NUNEZ","MAYAGUEZ","PR","00681-0000","(18.19982, -67.13962)","834-7700","834-7700","ARGENTINA SANABRIA","URBANA","SI","ELEMENTAL","K - 6","K - 6","296",,,,,,"23","28","49","43","44","56","53",,,,,,,,,,"42.41","11.52","46.07","21.47","20.94","48.17","6.81","45.03","35.08","13.09","36.13","9.42","54.45","23.04","13.09","78.08"
"667","50773","LUIS MUNOZ RIVERA","PONCE","YAUCO","GUANICA","CARR 116 RAMAL 1116 BO CANO","GUANICA","PR","6530327","(17.99822, -66.89452)","821-3121","821-3121","EILEEN GONZALEZ OLIVERA","RURAL","SI","ELEMENTAL","K - 6","K - 6","123",,,"15",,,"18","24","20","16","14","16",,,,,,,,,,,"95.56","2.22","2.22","24.44","71.11","97.78","0","2.22","17.78","80","93.33","0","6.67","35.56","57.78","83.84"
"668","53512","LUIS MUNOZ RIVERA","PONCE","YAUCO","YAUCO","AVE BARBOSA","YAUCO","PR","00698-0000","(18.03198, -66.84978)","856-1370","267-6552","ANGELITA RODRIGUEZ","URBANA","SI","ELEMENTAL","K - 6 , EEE - EEI","K - 5, EEE, EEI, Audio","264",,,,,,"22","39","35","33","58","53",,"24",,,,,,,,,"73.64","4.55","21.82","30","43.64","69.72","0.92","29.36","27.52","42.20","53.21","12.84","33.94","36.70","16.51","82.42"
"669","61689","LUIS MUNOZ RIVERA","SAN JUAN","SAN JUAN I","SAN JUAN I","PARADA 25 AVE FERNANDEZ JUNCOS","SAN JUAN","PR","9167095","(18.44167, -66.06457)","727-6755","727-6755","WANDA J.ORTIZ SOLER","URBANA","SI","ELEMENTAL","PK - 6","PK - 6","324",,,"16",,,"42","49","56","45","57","59",,,,,,,,,,,"56.76","8.78","34.46","31.08","25.68","47.97","4.05","47.97","27.03","20.95","43.92","10.14","45.95","36.49","7.43","86.73"
"670","62810","LUIS MUNOZ RIVERA","SAN JUAN","SAN JUAN II","SAN JUAN III","CALLE ROBLES, #42","SAN JUAN","PR","00928-1407","(18.40019, -66.04895)","751-2214","753-0849","JESUS J. GONZALEZ LUCIANO","URBANA","SI","ELEMENTAL","K - 6","K - 6","235","2","8",,,"17","21","31","43","39","45","29",,,,,,,,,,,"52.59","10.34","37.07","31.03","21.55","53.45","3.45","43.10","33.62","19.83","19.83","31.03","49.14","17.24","2.59","82.04"
"671","71118","LUIS MUNOZ RIVERA","ARECIBO","VEGA ALTA","DORADO","AVE DR PEDRO ALBIZO CAMPOS BO MAMEYAL","DORADO","PR","6460548","(18.47445, -66.26618)","796-6246","796-1947","WILMA ARDON","RURAL","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","198",,,,,,"39","29","28","35","23","30",,"14",,,,,,,,,"30.30","19.70","50","17.42","12.88","32.58","28.79","38.64","20.45","12.12","19.70","22.73","57.58","17.42","2.27","85.16"
"673","75820","LUIS MUNOZ RIVERA II","SAN JUAN","GUAYNABO","GUAYNABO","AVE PONCE DE LEON BO AMELIA","GUAYNABO","PR","9630000","(18.43065, -66.11422)","783-5290","273-8450","IVELISSE CARRASQUILLO SUAU","URBANA","SI","ELEMENTAL","4 - 6 , EEE","4 - 6 , EEE","105",,,,,,,,,,"49","46",,"10",,,,,,,,,"52.29","15.03","32.68","35.95","16.34","46.05","15.79","38.16","19.74","26.32","18.24","25.68","56.08","14.19","4.05","90.48"
"674","48264","LUIS NEGRON LOPEZ","MAYAGUEZ","CABO ROJO","SABANA GRANDE","CARR #368 KM 1.0 BO MACHUCHAL","SABANA GRANDE","PR","6370000","(18.07416, -66.94919)","804-2037","804-2036","AMILCAR RUIZ CURET","RURAL","SI","SUPERIOR","12-Oct","12-Oct","664",,,,,,,,,,,,,,,,"118",,"170","180","196",,"38.71","10.32","50.97","20","18.71","3.87","27.10","69.03","1.94","1.94","32.26","32.26","35.48","19.35","12.90","39.15"
"675","70581","LUIS PALES MATOS","BAYAMON","BAYAMON","BAYAMON I","URB SANTA ROSA CALLE 11 ESQ 17","BAYAMON","PR","9590000","(18.39051, -66.14257)","288-1075","786-4275","LYDIA PENA","URBANA","SI","SECUNDARIO","12-Jul","12-Jul","329",,,,,,,,,,,,,,,,"88",,"87","76","78",,"33.33","9.72","56.94","25","8.33","1.39","29.17","69.44","1.39","0","32.39","36.62","30.99","16.90","15.49","72.98"
"676","20909","LUIS RAMOS GONZALEZ","CAGUAS","GURABO","CAGUAS II","AVE GAUTIER BENITEZ FINAL","CAGUAS","PR","7260000","(18.22713, -66.03664)","743-9194","743-2311","FRANCISCO MIRANDA","URBANA","SI","INTERMEDIO","9-Jul","9-Jul","258",,,,,,,,,,,,"63",,"114","81",,,,,,,"38.67","17.19","44.14","30.47","8.20","19.61","22.75","57.65","16.86","2.75","39.84","28.13","32.03","22.66","17.19","81.01"
