"nombresenador","measuredate","measuretype","measurenumber","proyecto","reference","votetype","countofvotetype","measurestatus","proyecto1","mes","a_o","labelvotetype","countofvotes","nombre"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","1639","R. del S. 1639","Informe Final","Ausente","1","Aprobada","R. del S. 1639","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","R. C. del S.","287","R. C. del S. 0287","Conc. Enmiendas","Ausente","1","Aprobada","R. C. del S. 0287","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","49","R. del S. 0049","Informe Final","Ausente","1","Aprobada","R. del S. 0049","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","50","R. del S. 0050","Informe Final","Ausente","1","Aprobada","R. del S. 0050","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","229","R. del S. 0229","Informe Final","Ausente","1","Aprobada","R. del S. 0229","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","378","R. del S. 0378","Informe Final","Ausente","1","Aprobada","R. del S. 0378","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","585","R. del S. 0585","Informe Final","Ausente","1","Aprobada","R. del S. 0585","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","850","R. del S. 0850","Informe Final","Ausente","1","Aprobada","R. del S. 0850","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","963","R. del S. 0963","Informe Final","Ausente","1","Aprobada","R. del S. 0963","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","1096","R. del S. 1096","Informe Final","Ausente","1","Aprobada","R. del S. 1096","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","1134","R. del S. 1134","Informe Final","Ausente","1","Aprobada","R. del S. 1134","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-22T00:00:00.000","R. del S.","1510","R. del S. 1510","Informe Final","Ausente","1","Aprobada","R. del S. 1510","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
