"nombresenador","measuredate","measuretype","measurenumber","proyecto","reference","votetype","countofvotetype","measurestatus","proyecto1","mes","a_o","labelvotetype","countofvotes","nombre"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","191","P. del S. 0191","Inf. Conferencia","A favor","1","Aprobada","P. del S. 0191","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","223","P. del S. 0223","Inf. Conferencia","A favor","1","Aprobada","P. del S. 0223","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","325","P. del S. 0325","Conc. Enmiendas","A favor","1","Aprobada","P. del S. 0325","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","405","P. del S. 0405","Inf. Conferencia","A favor","1","Aprobada","P. del S. 0405","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1072","P. del S. 1072","Inf. Conferencia","A favor","1","Aprobada","P. del S. 1072","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1245","P. del S. 1245","Inf. Conferencia","A favor","1","Aprobada","P. del S. 1245","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2488","P. del S. 2488","Conc. Enmiendas","A favor","1","Aprobada","P. del S. 2488","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1293","P. del S. 1293","Conc. Enmiendas","A favor","1","Aprobada","P. del S. 1293","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","R. del S.","74","R. del S. 0074","Informe Final","Ausente","1","Aprobada","R. del S. 0074","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1363","P. del S. 1363","Inf. Conferencia","A favor","1","Aprobada","P. del S. 1363","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1478","P. del S. 1478","Inf. Conferencia","A favor","1","Aprobada","P. del S. 1478","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1541","P. del S. 1541","Inf. Conferencia","A favor","1","Aprobada","P. del S. 1541","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1597","P. del S. 1597","Inf. Conferencia","A favor","1","Aprobada","P. del S. 1597","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1960","P. del S. 1960","Conc. Enmiendas","A favor","1","Aprobada","P. del S. 1960","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
