"agosto_diciembre_fall","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_2009","_2010","_2011","_2012","_2013","_2014","_2015","_2016"
"% admitidos","52.81","79.01","61.54","72.57","61.84","69.33","60.53","65.22","58.05","49.02","57.59","59.17","61.50","66.33","84.56","64.71"
"% amtriculados","68.09","59.38","82.81","74.39","88.30","84.96","92.17","73.33","58.39","92.80","82.95","79.84","87.79","85.38","85.71","86.36"
