"nivel","_2009_2010","_2010_2011","_2011_2012","_2012_2013","_2013_2014"
"Elemental","18616","15863","12050","15029","13571"
"Superior","6592","5534","4603","5577","5488"
"Intermedio","6482","5292","4260","5059","4602"
"Segunda Unidad","5721","4753","3722","4561","4262"
"Secundario","1219","921","678","978","1030"
"Todos los Niveles","404","281","122","246","276"
"Preescolar","22","22","29","33","29"
"Otros","0","0","0","0","0"
