"total","a_o_escolar","pueblo"
"2997","2012-01-01T00:00:00.000","MAYAGUEZ"
"3132","2011-01-01T00:00:00.000","MAYAGUEZ"
"398","2014-01-01T00:00:00.000","MAUNABO"
"409","2012-01-01T00:00:00.000","MAUNABO"
"414","2011-01-01T00:00:00.000","MAUNABO"
"412","2013-01-01T00:00:00.000","MAUNABO"
"240","2014-01-01T00:00:00.000","MARICAO"
"236","2012-01-01T00:00:00.000","MARICAO"
"256","2011-01-01T00:00:00.000","MARICAO"
"269","2013-01-01T00:00:00.000","MARICAO"
"1386","2014-01-01T00:00:00.000","MANATI"
"1352","2012-01-01T00:00:00.000","MANATI"
"1202","2011-01-01T00:00:00.000","MANATI"
"1332","2013-01-01T00:00:00.000","MANATI"
"594","2012-01-01T00:00:00.000","LUQUILLO"
"488","2014-01-01T00:00:00.000","LUQUILLO"
"584","2011-01-01T00:00:00.000","LUQUILLO"
"631","2013-01-01T00:00:00.000","LUQUILLO"
"456","2012-01-01T00:00:00.000","LOIZA"
"473","2013-01-01T00:00:00.000","LOIZA"
"405","2014-01-01T00:00:00.000","LOIZA"
"466","2011-01-01T00:00:00.000","LOIZA"
"1313","2011-01-01T00:00:00.000","LAS PIEDRAS"
"1332","2012-01-01T00:00:00.000","LAS PIEDRAS"
"1370","2013-01-01T00:00:00.000","LAS PIEDRAS"
"1250","2014-01-01T00:00:00.000","LAS PIEDRAS"
"408","2011-01-01T00:00:00.000","LAS MARIAS"
"410","2014-01-01T00:00:00.000","LAS MARIAS"
"347","2013-01-01T00:00:00.000","LAS MARIAS"
"424","2012-01-01T00:00:00.000","LAS MARIAS"
"1191","2014-01-01T00:00:00.000","LARES"
"1133","2011-01-01T00:00:00.000","LARES"
"1221","2013-01-01T00:00:00.000","LARES"
"1185","2012-01-01T00:00:00.000","LARES"
"1085","2014-01-01T00:00:00.000","LAJAS"
"1219","2012-01-01T00:00:00.000","LAJAS"
"1199","2011-01-01T00:00:00.000","LAJAS"
"853","2013-01-01T00:00:00.000","LAJAS"
"1314","2011-01-01T00:00:00.000","JUNCOS"
"1322","2012-01-01T00:00:00.000","JUNCOS"
"1282","2014-01-01T00:00:00.000","JUNCOS"
"1255","2013-01-01T00:00:00.000","JUNCOS"
"2067","2012-01-01T00:00:00.000","JUANA DIAZ"
"2213","2011-01-01T00:00:00.000","JUANA DIAZ"
"1994","2014-01-01T00:00:00.000","JUANA DIAZ"
"1871","2013-01-01T00:00:00.000","JUANA DIAZ"
"670","2013-01-01T00:00:00.000","JAYUYA"
"728","2011-01-01T00:00:00.000","JAYUYA"
"687","2012-01-01T00:00:00.000","JAYUYA"
"707","2014-01-01T00:00:00.000","JAYUYA"
"1963","2012-01-01T00:00:00.000","ISABELA"
"1846","2014-01-01T00:00:00.000","ISABELA"
"1649","2013-01-01T00:00:00.000","ISABELA"
"1837","2011-01-01T00:00:00.000","ISABELA"
"1891","2012-01-01T00:00:00.000","HUMACAO"
"1947","2011-01-01T00:00:00.000","HUMACAO"
"1815","2014-01-01T00:00:00.000","HUMACAO"
"1786","2013-01-01T00:00:00.000","HUMACAO"
"782","2012-01-01T00:00:00.000","HORMIGUEROS"
"753","2011-01-01T00:00:00.000","HORMIGUEROS"
"752","2014-01-01T00:00:00.000","HORMIGUEROS"
"959","2013-01-01T00:00:00.000","HORMIGUEROS"
"1602","2013-01-01T00:00:00.000","HATILLO"
"1365","2011-01-01T00:00:00.000","HATILLO"
"1558","2014-01-01T00:00:00.000","HATILLO"
"1472","2012-01-01T00:00:00.000","HATILLO"
"1469","2014-01-01T00:00:00.000","GURABO"
"1535","2013-01-01T00:00:00.000","GURABO"
"1469","2012-01-01T00:00:00.000","GURABO"
"1545","2011-01-01T00:00:00.000","GURABO"
"2040","2013-01-01T00:00:00.000","GUAYNABO"
"1905","2011-01-01T00:00:00.000","GUAYNABO"
"1877","2012-01-01T00:00:00.000","GUAYNABO"
"1932","2014-01-01T00:00:00.000","GUAYNABO"
"874","2011-01-01T00:00:00.000","GUAYANILLA"
"837","2013-01-01T00:00:00.000","GUAYANILLA"
"825","2014-01-01T00:00:00.000","GUAYANILLA"
"849","2012-01-01T00:00:00.000","GUAYANILLA"
"1542","2011-01-01T00:00:00.000","GUAYAMA"
"1483","2014-01-01T00:00:00.000","GUAYAMA"
"1657","2012-01-01T00:00:00.000","GUAYAMA"
"1733","2013-01-01T00:00:00.000","GUAYAMA"
"760","2011-01-01T00:00:00.000","GUANICA"
"672","2013-01-01T00:00:00.000","GUANICA"
"706","2014-01-01T00:00:00.000","GUANICA"
