"station_code","station_name","y","x","elevation","coord_x_y","active"
"RQC00663904","GUAJATACA DAM","18.3964","-66.9244","202.1","(18.3964, -66.9244)","Yes"
"RQ1PRGB0003","GUARAGUAO 5.8 S","18.3042","-66.1313","78.6","(18.3042, -66.1313)","No"
"RQC00664115","GUAVATE CAMP","18.1167","-66.0667","780.3","(18.1167, -66.0667)","No"
"RQC00664126","GUAYABAL","18.0742","-66.4967","112.8","(18.0742, -66.4967)","No"
"RQC00664193","GUAYAMA 2E","17.9783","-66.0875","21.9","(17.9783, -66.0875)","Yes"
"RQC00664211","GUAYANILLA","18","-66.8667","9.1","(18.0, -66.8667)","No"
"RQC00664260","GUINEO RSVR","18.1667","-66.5333","914.1","(18.1667, -66.5333)","No"
"RQC00664271","GURABO","18.25","-65.9667","75.9","(18.25, -65.9667)","No"
"RQC00664276","GURABO SUBSTN","18.2583","-65.9922","48.8","(18.2583, -65.9922)","No"
"RQC00664330","HACIENDA CONSTANZA","18.1242","-67.0531","146.3","(18.1242, -67.0531)","No"
"RQC00664331","HACIENDA CONSTANZA 2W","18.2158","-67.0883","196.6","(18.2158, -67.0883)","Yes"
"RQ1PRHT0003","HATILLO 0.2 ESE","18.4867","-66.8211","14.9","(18.4867, -66.8211)","Yes"
"RQ1PRHT0001","HATILLO 1.1 ESE","18.481","-66.808","33.8","(18.481, -66.808)","Yes"
"RQC00664340","HATO ARRIBA ARECIBO","18.45","-66.7667","64.9","(18.45, -66.7667)","No"
"RQ1PRHM0001","HUMACAO 0.9 SE","18.1456","-65.8093","19.5","(18.1456, -65.8093)","No"
"RQC00664613","HUMACAO 2 SSE","18.1333","-65.8167","39.9","(18.1333, -65.8167)","No"
"RQC00664614","HUMACAO NATURAL RESERVE","18.1506","-66.7719","2.7","(18.1506, -66.7719)","Yes"
"RQC00664677","INDIERA ALTA","18.1667","-66.8833","792.5","(18.1667, -66.8833)","No"
"RQC00664685","INDIERA BAJA","18.1833","-66.9","853.1","(18.1833, -66.9)","No"
"RQ1PRIS0001","ISABELA 2.9 SSW","18.4654","-67.0336","129.8","(18.4654, -67.0336)","No"
"RQC00664702","ISABELA SUBSTN","18.4653","-67.0525","128","(18.4653, -67.0525)","Yes"
"RQC00664867","JAJOME ALTO","18.0717","-66.1428","719.3","(18.0717, -66.1428)","Yes"
"RQC00664910","JAYUYA","18.215","-66.5931","469.4","(18.215, -66.5931)","No"
"RQC00664911","JAYUYA 1 SE","18.2","-66.5833","530","(18.2, -66.5833)","No"
"RQC00664976","JOSEFA","17.9667","-66.15","9.1","(17.9667, -66.15)","No"
"RQC00665020","JUANA DIAZ CAMP","18.0514","-66.4986","79.9","(18.0514, -66.4986)","Yes"
"RQ1PRJN0001","JUNCOS 0.3 WSW","18.2228","-65.9161","80.5","(18.2228, -65.9161)","Yes"
