"bachillerato","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_2009","_2010","_2011","_2012","_2013","_2014","_2015","_2016"
" Masculino","73","70","69","71","70","73","72","72","72","72","77","70","69","68","68","70","69"
"Femenino","27","30","31","29","30","27","28","28","28","28","28","30","31","32","32","30","31"
