"region","distrito","municipio_escolar","c_digo_escuela","nombre_escuela","matr_cula_m1","matr_cula_m1_entre_5_y_17_a_os_2013_2014","m1_entre_5_y_17_a_os_bajo_nivel_pobreza_2013_2014","bnp_2013_2014"
"PONCE","PONCE","PONCE II","52167","FEDERICO DEGETAU","207","207","187","90.34"
"PONCE","PONCE","PONCE II","52175","JOAQUIN FERRAN","143","136","128","94.12"
"PONCE","PONCE","PONCE II","52183","CAPITANEJO","203","191","159","83.25"
"PONCE","PONCE","PONCE III","52225","JAIME L. DREW","367","352","324","92.05"
"PONCE","PONCE","PONCE I","52233","JOSE JULIAN ACOSTA","139","133","91","68.42"
"PONCE","PONCE","PONCE III","52258","JUAN CUEVAS ABOY","342","329","270","82.07"
"PONCE","PONCE","PONCE I","52266","JUAN MORELL CAMPOS ELEMENTAL","158","150","136","90.67"
"PONCE","PONCE","PONCE I","52274","SUPERIOR JUAN SERRALES","439","429","335","78.09"
"PONCE","PONCE","PONCE I","52308","ANSELMO RIVERA MATOS","123","116","91","78.45"
"PONCE","PONCE","PONCE I","52324","LAS MONJITAS","174","165","138","83.64"
"PONCE","PONCE","PONCE III","52340","LIZZIE GRAHAM","195","183","165","90.16"
"PONCE","PONCE","PONCE II","52357","ABRAHAN LINCOLN","270","255","214","83.92"
"PONCE","PONCE","PONCE III","52365","LUCY GRILLASCA","302","284","229","80.63"
"PONCE","PONCE","PONCE I","52373","LUIS MUNOZ RIVERA I","133","127","95","74.80"
"PONCE","PONCE","PONCE I","52381","LUIS MUNOZ RIVERA II","237","223","181","81.17"
"PONCE","PONCE","PONCE II","52423","OLIMPO OTERO","124","119","104","87.39"
"PONCE","PONCE","PONCE III","52431","EUGENIO MARIA DE HOSTOS","173","163","159","97.55"
"PONCE","PONCE","PONCE II","52449","PARCELAS MAGUEYES","154","149","125","83.89"
"PONCE","PONCE","PONCE II","52456","FRANCISCO PARRA DUPERON","172","170","136","80.00"
"PONCE","PONCE","PONCE III","52464","JULIA CORDERO NEGRON","189","183","163","89.07"
"PONCE","PONCE","PONCE I","52506","PEDRO J. FOURNIER","116","107","85","79.44"
"PONCE","PONCE","PONCE II","52514","PONCE HIGH","1015","990","808","81.62"
"PONCE","PONCE","PONCE II","52522","DR. RAFAEL PUJALS","390","390","345","88.46"
"PONCE","PONCE","PONCE III","52530","CARMEN MEDINA ANAYA","103","92","79","85.87"
"PONCE","PONCE","PONCE II","52548","RAMIRO COLON COLON","235","230","200","86.96"
"PONCE","PONCE","PONCE I","52555","RAMON MARIN","179","128","106","82.81"
"PONCE","PONCE","PONCE I","52571","RODULFO DEL VALLE","225","219","214","97.72"
"PONCE","PONCE","PONCE III","52589","SEGUNDO RUIZ BELVIS","203","190","178","93.68"
"PONCE","PONCE","PONCE III","52613","S. U. ROSARIO LATORRE MORALES","67","66","61","92.42"
"PONCE","PONCE","PONCE II","52621","ISMAEL MALDONADO","270","270","242","89.63"
"PONCE","PONCE","PONCE III","52688","DR. PILA","515","504","416","82.54"
"PONCE","PONCE","PONCE III","52696","BERNARDINO CORDERO BERNARD","659","643","504","78.38"
"PONCE","PONCE","PONCE I","52704","JULIO COLLAZO","198","190","155","81.58"
"PONCE","PONCE","PONCE I","52712","THOMAS ARMSTRONG TORO (ESPECIALIZADA)","149","146","78","53.42"
"PONCE","PONCE","PONCE I","52720","TOMAS CARRION MADURO","270","260","198","76.15"
"CAGUAS","GUAYAMA","SALINAS","52753","GUILLERMO GODREAU MANATOU","182","155","113","72.90"
"CAGUAS","GUAYAMA","SALINAS","52761","LAS MAREAS","51","50","42","84.00"
"CAGUAS","GUAYAMA","SALINAS","52779","LUIS MUNOZ RIVERA (ANEXO ESTELLA)","154","154","125","81.17"
"CAGUAS","GUAYAMA","SALINAS","52795","PARCELAS COCO","310","299","247","82.61"
"CAGUAS","GUAYAMA","SALINAS","52803","PARCELAS VAZQUEZ","208","200","170","85.00"
"CAGUAS","GUAYAMA","SALINAS","52811","LAS OCHENTAS","83","74","54","72.97"
"CAGUAS","GUAYAMA","SALINAS","52829","FRANCISCO M. QUINONES","131","126","108","85.71"
"CAGUAS","GUAYAMA","SALINAS","52837","GUILERMO GONZALEZ  (PLAYITA)","134","129","96","74.42"
"CAGUAS","GUAYAMA","SALINAS","52852","VICTORIA SANTIAGO COLON(QUEBRADA","156","147","129","87.76"
"CAGUAS","GUAYAMA","SALINAS","52860","ROMAN BALDORIOTY DE CASTRO","157","155","119","76.77"
"CAGUAS","GUAYAMA","SALINAS","52886","COQUI INTERMEDIA","166","165","141","85.45"
"CAGUAS","GUAYAMA","SALINAS","52894","JOSE PADIN","201","190","141","74.21"
"CAGUAS","GUAYAMA","SALINAS","52902","PEDRO SOTO RIVERA","162","147","119","80.95"
"CAGUAS","GUAYAMA","SALINAS","52928","WOODROW WILSON","174","166","114","68.67"
"PONCE","SANTA ISABEL","SANTA ISABEL","52944","MARTIN G. BRUMBAUGH","135","127","123","96.85"
"PONCE","SANTA ISABEL","SANTA ISABEL","52969","APOLONIA VALENTIN    (FELICIA)","183","151","81","53.64"
"PONCE","SANTA ISABEL","SANTA ISABEL","52985","ANA VALLDEJULY (JAUCA)","177","165","125","75.76"
"PONCE","SANTA ISABEL","SANTA ISABEL","52993","JOHN F. KENNEDY","168","168","138","82.14"
"PONCE","SANTA ISABEL","SANTA ISABEL","53009","MANUEL MARTIN MONSERRATE","476","472","393","83.26"
"PONCE","SANTA ISABEL","SANTA ISABEL","53017","FELICITA OLIVIERI SANTINI (OLLAS)","87","78","66","84.62"
"PONCE","SANTA ISABEL","SANTA ISABEL","53025","ESTHER RIVERA(PASO SECO)","220","212","152","71.70"
"PONCE","SANTA ISABEL","SANTA ISABEL","53033","EMILIO CASAS (PEÑUELAS)","100","92","65","70.65"
"PONCE","SANTA ISABEL","SANTA ISABEL","53041","PLAYA","85","81","58","71.60"
"PONCE","SANTA ISABEL","SANTA ISABEL","53058","S. U. PLAYITA DE CORTADA","367","352","274","77.84"
"PONCE","SANTA ISABEL","SANTA ISABEL","53066","ANA L ROSA TRICOCHE (VELAZQUEZ)","135","119","92","77.31"
"PONCE","SANTA ISABEL","VILLALBA","53090","JOHNNY E. LABOY","148","140","102","72.86"
"PONCE","SANTA ISABEL","VILLALBA","53116","ELADIA CORREA MORALES (CERRO GORDO)","85","80","63","78.75"
"PONCE","SANTA ISABEL","VILLALBA","53132","S. U. ALFREDO BOCACHICA","459","449","354","78.84"
"PONCE","SANTA ISABEL","VILLALBA","53140","S. U. HATILLO","406","390","310","79.49"
"PONCE","SANTA ISABEL","VILLALBA","53157","ELADIO ROSA ROMERO","212","182","125","68.68"
"PONCE","SANTA ISABEL","VILLALBA","53173","S. U. JOSE GONZALEZ GINORIO","296","293","195","66.55"
"PONCE","SANTA ISABEL","VILLALBA","53199","LIMON","92","86","63","73.26"
