"propertycode","area","location"
"T-0400-0-57-00","22575.82","Mayaguez"
"T-0366-1-66-00","11315.93","Morovis"
"T-0366-0-56-00","11907.68","Morovis"
"T-0362-1-70-00","10898","Barceloneta"
"T-0362-0-56-00","12682.55","Barceloneta"
"T-0361-1-79-00","8424","Arroyo"
"T-0361-0-56-00","11488.05","Arroyo"
"T-0357-1-82-00","11368","Sabana Grande"
"T-0357-0-56-00","11498","Sabana Grande"
"T-0336-3-66-00","22202.98","Mayaguez"
"T-0336-2-61-00","3816.86","Mayaguez"
"T-0336-1-69-00","11202.9","Mayaguez"
"T-0336-0-56-00","11466.9","Mayaguez"
"T-0327-0-56-00","11484.92","Humacao"
"T-0319-3-88-00","11784.74","Coamo"
"T-0319-2-65-00","11504.46","Coamo"
"T-0319-1-61-00","11207.33","Coamo"
"T-0319-0-56-00","11502.99","Coamo"
"T-0317-1-61-00","11366.53","Cayey"
"T-0317-0-57-00","11461.22","Cayey"
"T-0309-2-68-00","17809.86","Caguas"
"T-0309-1-56-00","11767.02","Caguas"
"T-0309-0-56-00","13029.1","Caguas"
"T-0306-0-56-00","11486.15","Bayamon"
"T-0300-1-66-00","11220.83","Aguadilla"
"T-0300-0-56-00","11453.86","Aguadilla"
"T-0262-0-55-00","11309.66","Barceloneta"
"T-0136-0-52-00","11802.69","Guanica"
"T-0096-1-58-00","12790.28","Vega Baja"
"T-0058-1-88-00","18241.37","Coamo"
"S-1401-0-87-00","31041","Guayama"
"S-1371-0-85-00","22656.22","Vega Alta"
"S-1331-0-81-00","110591.92","Utuado"
"S-1324-0-81-00","22677.84","Moca"
"S-1312-0-80-00","21325.19","Fajardo"
"S-1258-0-79-00","61889.5","San German"
"S-1243-0-79-00","22550.59","Rio Grande"
"S-1203-0-77-00","50095.75","Aguadilla"
"S-1171-0-74-00","66835.17","San German"
"S-1170-3-97-00","50639.14","Guanica"
"S-1170-2-81-00","6497.29","Guanica"
"S-1170-1-76-00","11180.25","Guanica"
"S-1170-0-74-00","11224.5","Guanica"
"S-1167-0-74-00","22654.639999999999","Cabo Rojo"
"S-1163-0-74-00","44856.75","Aguadilla"
"S-1105-0-73-00","24309.09","Cabo Rojo"
"S-1056-0-70-00","11717.52","Mayaguez"
"S-1055-0-70-00","22833.25","Mayaguez"
