"municipalities","socioeconomic_index","industrial_index"
"Adjuntas","0.677656802938575","0.70142686801162224"
"Aguada","0.91909972506685433","1.34510994342084"
"Aguadilla","1.0170600039555133","1.2342007751622399"
"Aguas Buenas","0.83131398667272627","0.50976870337600877"
"Aibonito","0.85994060427375474","0.93045021471905509"
"Añasco","0.8631828412192537","0.84870939203576345"
"Arecibo","1.1226097277796474","0.88734801477305403"
"Arroyo","0.75150553179700907","0.43152119282489071"
"Barceloneta","0.83380191236442858","1.4628522225914899"
"Barranquitas","0.78600119603091478","0.72094111539593608"
"Bayamón","1.6982751336638096","1.3875361196518099"
"Cabo Rojo","1.059618787188912","1.0646283324269099"
"Caguas","1.502740148108586","1.4957826002955701"
"Camuy","0.90074146475281958","0.77219446832827077"
"Canóvanas","1.0707174591796946","0.87476081342472145"
"Carolina","1.7923086893142124","1.13588895176573"
"Cataño","0.95061026644228919","1.7318762301614401"
"Cayey","1.1277866437751418","0.92788413583960005"
"Ceiba","0.90626400851988442","0.59213660846925997"
"Ciales","0.6558107863526681","0.79572754942678769"
"Cidra","1.1120190630722897","0.34372941199020074"
"Coamo","0.89675312728959233","0.65763407576120592"
"Comerío","0.67210707450484586","0.45491733287844249"
"Corozal","0.83495772620328834","0.82136335699267771"
"Culebra","0.64802207350092322","0.9688267097441845"
"Dorado","1.3235201616499428","0.90905587605993832"
"Fajardo","1.0348419204638781","0.99690942650341419"
"Florida","0.58596935292219643","0.37272367281341789"
"Guánica","0.67886499406819456","0.67238123866453736"
"Guayama","0.99761992724592674","0.89135990674585874"
"Guayanilla","0.76157280787663173","0.32645882179971775"
"Guaynabo","1.9340377077841073","1.42213060019752"
"Gurabo","1.4084244746806058","0.65883554115514675"
"Hatillo","0.92386217444199403","1.31963988286884"
"Hormigueros","0.96118537156966766","0.92235044639912678"
"Humacao","1.0561805392090977","1.1704895579456001"
"Isabela","0.90626721521447895","0.77966866005881375"
"Jayuya","0.75593420857301519","0.62613572945050366"
"Juana Díaz","0.98351261471401341","0.57241902696753055"
"Juncos","0.97783661612756445","0.65981103527948193"
"Lajas","0.77809657137650012","0.76404589574716897"
"Lares","0.71699150099612952","0.47918312349330133"
"Las Marías","0.68088112212150786","0.4648293469484846"
"Las Piedras","0.95846904501555985","0.72667272493190105"
"Loíza","0.88555056420885314","0.18528958391655409"
"Luquillo","0.86043562644668803","0.62309054073242665"
"Manatí","0.96217004520362182","1.1836366728474099"
"Maricao","0.53855860583924531","0.2173865512039477"
"Maunabo","0.64775314769875458","0.30221599973845653"
"Mayagüez","1.0744665776386124","1.3332533992270601"
"Moca","0.87079579916488847","0.82389047081524835"
"Morovis","0.76590315529354203","0.52754968841734473"
"Naguabo","0.83015188302811949","0.42719697986356558"
"Naranjito","0.79850312282279456","1.0466775343980601"
"Orocovis","0.68520610712214447","0.63539906263737533"
"Patillas","0.71305525235103473","0.47652422858307575"
"Peñuelas","0.75850578253664958","0.66717645137792003"
"Ponce","1.2880882745469504","1.11669231434901"
"Quebradillas","0.79453043136564017","0.82782529224179657"
"Rincón","0.78912491722006628","0.74016147391889897"
"Río Grande","1.1276014423610845","0.51201440629819883"
"Sabana Grande","0.88268146353240262","0.6343600842819207"
"Salinas","0.73237583488865166","0.70786301108191385"
"San Germán","0.9388534293387143","0.84135192013589244"
"San Juan","1.9940419131160843","1.4553478674890801"
"San Lorenzo","0.9457332042993255","0.83536515574904402"
"San Sebastián","0.82315227241848576","1.1212678328749801"
"Santa Isabel","0.88538628775013983","0.57634555640491125"
"Toa Alta","1.4257928470388694","0.53492925504247413"
"Toa Baja","1.3619413114550381","0.87263306262167595"
"Trujillo Alto","1.6462800427497928","0.69415143214226005"
"Utuado","0.81356432272441148","0.46926358271000734"
"Vega Alta","0.97038034718324873","1.0244935010557801"
"Vega Baja","1.0053294612191519","0.79839839008948565"
"Vieques","0.7136115110247635","0.53561820712231401"
"Villalba","0.76660608312665868","0.42187256277382196"
"Yabucoa","0.82136099017747155","0.490414504444593"
"Yauco","0.89321196314154971","1.0230929734027401"
