"programa","fecha_emision","municipio","familias","participantes","beneficios","beneficio_promedio","femenino","masculino","otros","edad_0_4","edad_5_13","edad_14_17","edad_18_24","edad_25_44","edad_45_64","edad_65","incapacitados","deambulantes","estudiantes"
"PAN","201405","GUAYANILLA","10679","30867","3325124","311.37","5859","4818","2","857","1602","677","1174","2703","2252","1414","716","5","2504"
"PAN","201405","HORMIGUEROS","5331","14099","1495925","280.61","3047","2283","1","393","660","280","496","1167","1127","1208","399","2","776"
"PAN","201405","OROCOVIS","13028","38782","4103012","314.94","6750","6275","3","1028","1724","940","1687","2999","3001","1649","1516","2","2586"
"PAN","201405","ARROYO","8462","23513","2513061","296.98","4758","3701","3","724","1246","525","1030","2054","1725","1157","763","12","408"
"PAN","201405","RIO PIEDRAS 3","19876","53546","5819080","292.77","12293","7579","4","2086","3803","1360","2221","4490","3530","2386","1391","275","5402"
"PAN","201405","NARANJITO","15901","45263","4784306","300.88","8542","7356","3","1299","2224","1036","1873","3774","3467","2227","2137","6","2344"
"PAN","201405","DORADO","11766","32315","3428226","291.37","6758","5005","3","1011","1808","867","1309","2631","2370","1769","1008","4","2468"
"PAN","201405","CATAÑO","11484","32811","3560513","310.04","6754","4729","1","1114","1996","836","1405","2612","2169","1352","1037","85","2450"
"PAN","201405","PATILLAS","8685","23439","2498949","287.73","4654","4027","4","655","1168","503","956","1940","2084","1379","1147","5","454"
"PAN","201405","LARES","16205","45476","4894838","302.06","8532","7667","6","1092","2073","1051","1896","4004","3637","2452","1836","5","3424"
"TANF","201406","CEIBA","373","822","59240","158.82","250","123","0","48","83","25","30","87","63","37","71","0","53"
"TANF","201406","AIBONITO","486","824","58501","120.37","308","178","0","45","42","15","26","89","167","102","209","1","54"
"TANF","201406","YABUCOA","1298","2370","173214","133.45","818","480","0","141","202","35","99","279","322","220","408","0","206"
"TANF","201406","LAJAS","471","783","54996","116.76","280","191","0","24","62","22","16","98","128","121","147","0","84"
"TANF","201406","LOIZA","660","1279","85696","129.84","405","255","0","70","117","20","49","112","142","150","167","1","124"
"TANF","201406","GUAYANILLA","496","859","61820","124.64","311","185","0","26","76","24","14","98","120","138","142","0","96"
"TANF","201406","MANATI","1202","2479","179128","149.02","758","444","0","104","244","69","66","237","237","245","255","0","210"
"TANF","201406","COROZAL","1018","1649","116189","114.13","571","447","0","47","127","29","33","178","329","275","378","0","88"
"TANF","201406","RIO GRANDE","1177","2427","172521","146.58","765","412","0","106","235","70","67","233","209","257","254","1","144"
"TANF","201406","JAYUYA","709","1878","132078","186.29","413","296","0","57","149","50","33","175","157","88","245","0","156"
"TANF","201406","VILLALBA","408","710","47817","117.2","244","164","0","25","38","18","23","68","91","145","115","0","46"
"TANF","201406","NARANJITO","662","1188","86305","130.37","394","268","0","39","97","28","27","148","183","140","241","1","70"
"PAN","201406","OROCOVIS","13067","38936","4100271","313.79","6776","6289","2","1039","1732","941","1675","3018","3007","1655","1517","1","2603"
"PAN","201406","CAROLINA","44249","121481","12827538","289.89","26812","17421","16","4207","7585","3090","5134","9497","7955","6781","3068","142","10785"
"PAN","201406","ARECIBO","41455","105663","11583271","279.42","23078","18369","8","3011","5536","2584","4927","9688","8835","6871","4112","155","7988"
"PAN","201406","NARANJITO","15879","45064","4750872","299.19","8536","7339","4","1312","2224","1008","1887","3762","3452","2232","2132","7","2323"
"PAN","201406","BARRANQUITAS","17504","50149","5383052","307.53","9485","8017","2","1582","2575","1204","2348","4186","3717","1892","1745","2","3525"
"PAN","201406","TRUJILLO ALTO","18241","49585","5249222","287.77","10620","7617","4","1644","2998","1263","1848","3915","3524","3046","1592","120","4113"
"PAN","201406","CAMUY","15351","41380","4387080","285.78","8394","6955","2","1122","2040","952","1674","3685","3474","2404","1782","5","2968"
"PAN","201406","SAN LORENZO","16104","42838","4537289","281.75","8911","7190","3","1135","2105","951","1663","3515","4062","2673","1926","5","2866"
"PAN","201406","GUÁNICA","8856","25378","2706813","305.65","4863","3990","3","646","1169","570","946","1952","2009","1564","657","5","1854"
"PAN","201406","COAMO","16193","45814","4862670","300.29","8937","7246","10","1296","2324","1112","1978","3706","3452","2323","1470","8","2551"
"PAN","201406","CEIBA","5170","14279","1499619","290.06","2954","2216","0","462","740","325","651","1190","1021","781","385","0","619"
"TANF","201407","BAYAMON","2457","4873","329668","134.18","1554","903","0","237","456","126","115","439","476","608","564","9","474"
"TANF","201407","VEGA BAJA","1000","1927","129016","129.02","584","416","0","81","192","56","53","155","203","260","228","1","207"
"TANF","201407","MANATI","1160","2440","174924","150.8","734","426","0","94","233","81","64","235","217","236","239","0","208"
"TANF","201407","RIO GRANDE","1141","2381","170964","149.84","732","409","0","94","231","67","67","227","217","238","255","1","138"
"TANF","201407","GUÁNICA","359","564","37637","104.84","220","139","0","22","47","13","20","69","90","98","116","1","56"
"TANF","201407","OROCOVIS","655","1175","87713","133.91","368","287","0","51","74","30","32","120","176","172","218","0","67"
"TANF","201407","UTUADO","650","1140","80335","123.59","384","266","0","41","91","16","29","119","188","166","221","5","84"
"TANF","201407","PEÑUELAS","674","1314","90764","134.66","397","277","0","49","103","39","48","144","200","91","270","0","140"
"TANF","201407","CASTAÑER","69","125","8920","129.28","49","20","0","3","11","5","2","7","12","29","6","0","9"
"PAN","201407","CAGUAS","44548","118210","12888866","289.33","26113","18415","20","3493","6778","3001","4889","9777","9096","7511","3876","218","6511"
"PAN","201407","ARECIBO","41453","105503","11880228","286.6","23086","18358","9","3024","5519","2580","4907","9694","8858","6868","4110","154","7993"
"PAN","201407","GUAYAMA","16541","45322","4970681","300.51","9272","7269","0","1363","2499","1139","1842","3951","3430","2317","1755","6","811"
"PAN","201407","MAYAGÜEZ","32037","85703","9526593","297.36","18355","13678","4","2595","4509","1937","3484","7113","6731","5668","1933","234","6466"
"PAN","201407","JAYUYA","8391","25609","2826797","336.88","4362","4026","3","670","1194","605","1014","1991","1893","1024","970","0","1815"
"TANF","201303","CIDRA","609","1137","81835","134.38","342","267","0","48","94","25","31","122","162","127","216","1","101"
"TANF","201303","AGUADILLA","1750","3248","229443","131.11","1033","717","0","159","256","62","107","327","489","350","577","1","184"
"TANF","201303","ARECIBO","2265","4269","307232","135.64","1426","839","0","208","353","122","137","407","557","481","626","11","412"
"TANF","201303","LUQUILLO","486","1068","76890","158.21","307","179","0","61","100","20","37","107","79","82","99","1","60"
"TANF","201303","RIO PIEDRAS","1134","2143","154803","136.51","703","431","0","105","218","41","44","210","229","287","248","45","253"
"TANF","201303","CANOVANAS","1162","2730","190476","163.92","741","421","0","139","272","64","96","254","180","157","249","0","248"
"TANF","201303","PATILLAS","570","1129","80548","141.31","339","231","0","55","84","34","41","111","135","110","175","0","60"
"TANF","201302","GUAYAMA","1356","3015","211503","155.98","850","506","0","192","284","89","113","281","241","156","324","0","65"
"TANF","201303","ARROYO","625","1389","97903","156.64","386","239","0","84","137","31","54","135","114","70","150","0","33"
"TANF","201302","CAYEY","879","1598","113146","128.72","535","344","0","72","128","45","44","166","242","182","298","0","18"
"TANF","201302","RIO GRANDE","1120","2471","171583","153.2","730","390","0","103","234","76","70","232","182","223","238","0","146"
"TANF","201303","SAN LORENZO","890","1431","102832","115.54","559","331","0","42","115","38","43","185","286","181","367","1","117"
"TANF","201302","JUNCOS","984","1984","136319","138.54","610","374","0","98","178","41","57","217","233","160","277","3","112"
"TANF","201302","ISABELA","1068","1964","141561","132.55","634","434","0","74","164","38","56","208","268","260","326","1","163"
"TANF","201302","COROZAL","1042","1643","118240","113.47","597","445","0","52","121","32","41","193","331","272","395","0","85"
"TANF","201302","CANOVANAS","1165","2734","191332","164.23","741","424","0","141","276","65","92","256","177","158","240","0","257"
"TANF","201302","NARANJITO","701","1320","95636","136.43","423","278","0","48","99","30","33","153","210","128","256","0","84"
"TANF","201303","CEIBA","400","958","73648","184.12","264","136","0","59","92","29","25","104","59","32","80","0","69"
"TANF","201303","AÑASCO","492","889","63166","128.39","307","185","0","38","77","25","27","103","127","95","172","0","102"
"TANF","201302","HUMACAO","1615","3712","263469","163.14","1014","601","0","263","335","110","140","301","270","196","303","6","328"
"PAN","201303","DORADO","11481","32571","3312387","288.51","6641","4833","7","1031","1882","799","1290","2488","2305","1685","1010","4","2586"
"PAN","201303","NARANJITO","15674","45380","4607241","293.94","8445","7221","8","1380","2219","1031","1921","3661","3348","2112","2092","7","2608"
"PAN","201303","ARECIBO","42219","109744","11564654","273.92","23510","18696","13","3227","5835","2738","5012","9972","8750","6682","4003","101","8176"
"PAN","201303","AGUADA","17043","49505","5032652","295.29","9345","7696","2","1243","2289","1153","1957","4057","4056","2288","1425","3","2886"
"PAN","201303","MAYAGÜEZ","31120","84984","8784783","282.29","17971","13145","4","2741","4533","1915","3377","6760","6405","5387","1847","182","6533"
"PAN","201303","AGUAS BUENAS","10969","30267","3108731","283.41","6276","4693","0","976","1763","750","1160","2348","2285","1687","1176","9","2692"
"PAN","201303","NAGUABO","11506","32479","3351158","291.25","6497","5006","3","989","1862","762","1287","2795","2223","1588","1267","41","2611"
"PAN","201303","HATILLO","17050","45994","4755995","278.94","9360","7684","6","1366","2364","1059","1977","4065","3594","2624","1372","5","3705"
"PAN","201303","SANTA ISABEL","8603","24954","2516736","292.54","4868","3735","0","781","1352","620","1011","1893","1719","1227","703","18","431"
"PAN","201303","VILLALBA","12700","38626","3940307","310.26","6908","5788","4","1037","1802","904","1616","2883","2691","1767","748","2","2644"
"PAN","201303","LUQUILLO","8058","23025","2353415","292.06","4578","3475","5","736","1251","533","1023","1841","1535","1139","593","5","1461"
"PAN","201304","CATAÑO","11118","32198","3371124","303.21","6593","4525","0","1089","2046","812","1371","2410","2081","1309","1051","55","2476"
"PAN","201304","COROZAL","17526","50298","5154036","294.08","9517","8003","6","1490","2504","1158","2036","3850","3969","2518","2388","0","2949"
"PAN","201304","OROCOVIS","13146","39776","4052366","308.26","6782","6361","3","1023","1851","925","1728","3056","2966","1597","1559","4","2718"
"PAN","201304","ARECIBO","42008","109159","11493401","273.6","23448","18550","10","3205","5814","2685","5020","9865","8665","6751","4041","97","8146"
"PAN","201304","CIALES","10294","29917","3052424","296.52","5585","4707","2","915","1498","629","1282","2311","2270","1389","1280","1","1695"
"PAN","201304","LAS PIEDRAS","15316","40287","4185088","273.25","8588","6720","8","1330","2288","965","1792","3646","3120","2174","1715","5","2800"
"PAN","201304","SAN GERMÁN","13921","39832","4025663","289.18","7609","6311","1","1172","1933","858","1590","3008","2973","2387","1338","5","3020"
"PAN","201304","AIBONITO","11295","30468","3128137","276.95","6206","5088","1","961","1560","696","1407","2505","2515","1651","1489","4","2571"
"PAN","201303","CULEBRA","504","1573","154307","306.16","276","226","2","43","77","34","59","133","95","63","32","0","45"
"PAN","201304","LAS MARÍAS","4616","13675","1395899","302.4","2392","2224","0","398","637","284","547","1089","990","671","290","2","1088"
"TANF","201304","SABANA GRANDE","581","1197","82540","142.07","349","232","0","60","98","32","54","124","132","81","195","2","134"
"TANF","201304","RIO PIEDRAS 4","1241","2639","181783","146.48","775","466","0","121","264","61","62","257","291","185","340","5","270"
"TANF","201304","SAN SEBASTÍAN","990","1803","137576","138.97","602","388","0","88","144","43","60","187","239","229","293","0","187"
"TANF","201304","AGUADILLA","1761","3290","231895","131.68","1044","717","0","162","258","59","107","326","498","351","582","2","183"
"TANF","201304","JUANA DIAZ","840","1625","112852","134.35","548","292","0","98","116","31","63","137","188","207","220","0","101"
"TANF","201304","LARES","864","1620","125988","145.82","520","344","0","69","133","29","53","172","198","210","262","1","151"
"TANF","201304","MOROVIS","690","1265","91170","132.13","411","279","0","42","107","47","27","137","161","169","210","0","144"
"TANF","201304","CAMUY","753","1355","98230","130.45","454","299","0","60","109","33","41","161","194","155","240","0","125"
"PAN","201305","BAYAMON","55296","153536","17530399","317.03","33196","22094","6","5114","9517","3904","5907","11719","10202","8933","4514","79","13767"
"PAN","201305","ANGELES","4114","11724","1365022","331.8","2114","2000","0","284","515","290","487","929","945","664","309","1","860"
"PAN","201305","PONCE","71043","208784","24084187","339.01","40733","30301","9","6618","11419","4961","8596","16090","13816","9543","5165","222","16328"
"PAN","201305","RIO PIEDRAS 3","19849","54621","6359045","320.37","12311","7534","4","2201","3801","1371","2283","4471","3434","2288","1414","265","5482"
"PAN","201305","HORMIGUEROS","5179","13618","1548192","298.94","2996","2183","0","360","644","303","492","1093","1094","1193","412","6","736"
"PAN","201305","FLORIDA","6912","19536","2262119","327.27","3805","3107","0","612","1046","462","890","1628","1388","886","623","8","1521"
"PAN","201305","SALINAS","12978","36232","4099815","315.9","7284","5690","4","1149","1907","909","1543","2845","2638","1987","1117","6","650"
"PAN","201305","RIO PIEDRAS","13448","32487","3853978","286.58","8000","5447","1","1155","2030","792","1300","2766","2889","2516","971","436","3247"
"PAN","201305","VILLALBA","12762","38723","4407103","345.33","6916","5844","2","1049","1789","919","1618","2884","2702","1801","750","2","2641"
"PAN","201306","CAGUAS","44278","120557","13603148","307.22","26058","18195","25","3753","6972","3060","4773","9687","8646","7385","3948","164","6705"
"PAN","201306","CATAÑO","11182","32311","3729586","333.53","6615","4567","0","1106","2032","828","1368","2436","2097","1315","1050","57","2491"
"PAN","201306","RIO PIEDRAS 3","19817","54492","6294929","317.65","12262","7550","5","2217","3797","1351","2270","4441","3431","2310","1417","266","5426"
"PAN","201306","SABANA GRANDE","9787","29114","3224214","329.44","5352","4435","0","838","1349","697","1175","2295","1968","1465","852","10","2339"
"PAN","201306","ARECIBO","41942","108598","12652795","301.67","23429","18503","10","3186","5786","2655","5015","9815","8696","6787","4072","110","8097"
"PAN","201306","VILLALBA","12737","38559","4356904","342.07","6916","5819","2","1052","1793","914","1597","2872","2696","1813","747","2","2614"
"PAN","201306","HUMACAO","21895","58243","6637267","303.14","12684","9202","9","2082","3229","1355","2566","4958","4563","3142","2535","38","4210"
"PAN","201306","LOIZA","11713","35215","4045588","345.39","6777","4935","1","1128","1889","830","1558","2636","2335","1337","702","16","2907"
"PAN","201306","ARROYO","8351","23598","2645277","316.76","4717","3630","4","758","1251","524","1025","1984","1673","1136","710","11","534"
"PAN","201306","CAYEY","14308","37812","4193643","293.1","8125","6181","2","1193","2078","899","1500","3099","3112","2427","1605","14","864"
"PAN","201306","SAN JUAN","55057","153567","17780254","322.94","33521","21529","7","5791","10052","4013","6255","11274","10058","7614","3524","703","13076"
"PAN","201306","HATILLO","16926","45274","5181996","306.16","9299","7622","5","1359","2339","1029","1907","4037","3614","2640","1386","5","3622"
"PAN","201306","COROZAL","17623","50545","5721276","324.65","9570","8046","7","1515","2521","1130","2056","3881","3968","2551","2387","0","2977"
"PAN","201306","JAYUYA","8693","27102","3097489","356.32","4519","4171","3","733","1272","620","1116","2096","1854","1001","976","0","1982"
"PAN","201210","LARES","16353","47219","4753123","290.66","8619","7727","7","1140","2238","1115","1929","3982","3574","2375","1708","8","3794"
"TANF","201302","LARES","872","1616","125417","143.83","522","350","0","77","128","29","51","181","195","211","263","2","150"
"TANF","201302","PATILLAS","584","1180","83903","143.67","354","230","0","59","91","39","43","116","126","110","168","0","65"
"TANF","201302","SAN GERMÁN","732","1181","80689","110.23","436","296","0","31","103","21","29","134","217","197","248","2","116"
"PAN","201307","YAUCO","17861","50591","5804730","324.99","9854","8006","1","1371","2448","1076","1965","4118","4228","2655","1274","10","3833"
"PAN","201307","JAYUYA","8638","26856","3124744","361.74","4487","4148","3","716","1268","617","1102","2089","1846","999","978","0","1951"
"PAN","201307","VILLALBA","12765","38687","4460283","349.42","6935","5828","2","1043","1813","918","1594","2888","2691","1818","750","2","2623"
"TANF","201211","COROZAL","1073","1694","122937","114.57","618","455","0","61","119","38","44","194","336","281","399","0","92"
"TANF","201211","CIALES","465","851","65823","141.55","263","202","0","43","66","17","36","85","106","112","148","0","64"
"TANF","201211","SANTA ISABEL","541","1085","77706","143.63","338","203","0","85","87","29","45","107","117","71","152","0","17"
"TANF","201211","RINCÓN","340","657","45770","134.62","201","139","0","30","52","13","13","69","82","81","95","0","28"
"TANF","201211","OROCOVIS","737","1332","99522","135.04","404","333","0","56","105","29","37","138","202","170","255","0","89"
"TANF","201211","ANGELES","165","273","23629","143.21","97","68","0","14","16","7","12","32","44","40","55","0","30"
"PAN","201210","LAS MARÍAS","4649","14023","1412681","303.87","2423","2226","0","421","657","295","556","1074","988","658","297","2","1134"
"PAN","201210","AÑASCO","11552","31816","3184121","275.63","6213","5338","1","903","1568","704","1318","2704","2510","1845","1103","2","2316"
"PAN","201210","MARICAO","2783","8751","874180","314.11","1437","1346","0","239","412","193","316","752","575","296","225","0","470"
"TANF","201211","CASTAÑER","73","141","11788","161.48","50","23","0","7","14","1","5","9","11","26","8","0","8"
"TANF","201212","ARECIBO","2295","4442","326959","142.47","1436","859","0","200","390","131","140","421","539","474","616","11","449"
"TANF","201212","AGUADILLA","1815","3407","245010","134.99","1081","734","0","174","269","62","115","348","496","351","593","1","198"
"TANF","201212","MAYAGÜEZ","1875","3909","289082","154.18","1213","662","0","213","368","77","109","326","328","454","360","11","370"
"TANF","201212","LOIZA","767","1617","108704","141.73","490","277","0","96","156","36","60","139","131","149","162","0","173"
"TANF","201212","GURABO","456","814","58512","128.32","290","166","0","23","73","23","19","94","122","102","159","1","53"
"TANF","201212","BARCELONETA","647","1372","102109","157.82","406","241","0","93","118","38","55","110","110","123","128","0","114"
"TANF","201212","SABANA GRANDE","562","1189","83819","149.14","336","226","0","63","88","32","49","124","124","82","193","2","127"
"PAN","201307","CIDRA","15675","43209","4913219","313.44","8871","6800","4","1429","2274","1047","1814","3587","3315","2209","1919","6","3457"
"PAN","201307","COROZAL","17591","50378","5814886","330.56","9557","8027","7","1496","2518","1126","2033","3883","3980","2554","2382","0","2951"
"PAN","201307","MOCA","18288","51976","5995284","327.83","9853","8434","1","1431","2673","1136","2046","4498","4009","2495","1788","3","3898"
"PAN","201307","GUÁNICA","8796","25450","2927585","332.83","4854","3940","2","682","1186","584","949","1939","1926","1530","656","4","1830"
"PAN","201307","TRUJILLO ALTO","18250","50185","5788765","317.19","10636","7609","5","1768","3024","1226","1880","3882","3471","2997","1641","84","4072"
"PAN","201307","RIO PIEDRAS","13556","32823","3922036","289.32","8071","5483","2","1171","2062","790","1333","2774","2918","2508","976","424","3250"
"PAN","201307","LAS PIEDRAS","15266","40163","4687671","307.07","8503","6754","9","1296","2302","955","1734","3640","3141","2198","1725","7","2767"
"PAN","201307","YABUCOA","18037","47730","5495467","304.68","9920","8111","6","1383","2448","1072","2036","4062","4390","2646","3243","6","3579"
"PAN","201307","ISABELA","17417","48950","5615239","322.4","9497","7914","6","1213","2415","1083","1846","3972","4027","2861","1947","4","3332"
"PAN","201307","MARICAO","2736","8510","979032","357.83","1391","1345","0","225","400","182","310","733","584","302","201","1","471"
"PAN","201307","CEIBA","5175","14368","1637932","316.51","2965","2210","0","464","790","325","641","1189","976","790","397","0","609"
"PAN","201307","VIEQUES","4081","11628","1363612","334.14","2257","1824","0","465","649","258","514","896","788","511","285","4","763"
"TANF","201307","QUEBRADILLAS","536","1102","77522","144.63","330","206","0","56","106","23","34","110","122","85","137","1","104"
"TANF","201307","ANGELES","186","298","24353","130.93","104","82","0","9","25","5","9","38","55","45","62","0","34"
"TANF","201307","TRUJILLO ALTO","1033","1914","134206","129.92","622","411","0","87","159","42","40","213","259","233","315","2","154"
"TANF","201307","MAUNABO","381","737","54719","143.62","235","146","0","51","64","18","42","65","77","64","96","0","21"
"TANF","201307","VEGA ALTA","841","1711","122305","145.43","514","326","1","103","165","47","57","163","142","164","166","0","197"
"TANF","201307","CAGUAS","1921","3467","239576","124.71","1185","736","0","125","286","81","78","326","565","460","640","15","153"
"TANF","201307","NARANJITO","674","1188","85885","127.43","396","278","0","44","87","23","26","149","211","134","251","0","65"
"TANF","201307","SAN SEBASTÍAN","987","1801","137918","139.73","593","394","0","88","140","37","61","190","247","224","310","1","177"
"TANF","201307","ARROYO","638","1384","97915","153.47","385","253","0","85","121","38","57","132","130","75","163","0","25"
"TANF","201307","UTUADO","683","1243","89632","131.23","401","282","0","50","99","20","30","129","186","169","224","3","91"
"TANF","201307","MANATI","1241","2593","184566","148.72","788","453","0","124","268","61","80","244","236","228","265","0","247"
"TANF","201307","GUÁNICA","390","718","48315","123.88","241","149","0","30","58","26","15","85","80","96","113","0","70"
"PAN","201308","CANOVANAS","18951","55081","6814654","359.59","10913","8026","12","1753","3008","1362","2178","4055","3880","2710","1550","16","4530"
"PAN","201308","VEGA BAJA","23303","65378","8184004","351.2","13224","10075","4","1836","3713","1571","2674","5183","4589","3737","2121","15","4926"
"PAN","201308","CAYEY","14211","37510","4583449","322.53","8061","6147","3","1170","2037","896","1486","3076","3106","2439","1588","15","836"
"PAN","201308","BAYAMON","54940","152468","18976873","345.41","32971","21963","6","5086","9308","3924","5903","11581","10173","8965","4516","81","13543"
"PAN","201308","ARROYO","8355","23444","2909054","348.18","4728","3623","4","764","1248","527","1015","1986","1665","1150","706","12","498"
"PAN","201308","SALINAS","13147","36569","4523449","344.07","7382","5763","2","1166","1942","912","1584","2909","2643","1991","1137","5","620"
"PAN","201308","MAUNABO","5633","15394","1902405","337.73","2998","2635","0","437","738","313","693","1274","1308","870","664","0","538"
"PAN","201308","LUQUILLO","7961","22376","2791357","350.63","4516","3440","5","713","1221","522","990","1844","1521","1149","584","6","1407"
"PAN","201308","LAS MARÍAS","4594","13532","1684874","366.76","2382","2212","0","395","641","269","550","1069","980","690","280","5","1080"
"PAN","201309","CATAÑO","11071","32125","4008062","362.03","6547","4524","0","1096","1971","830","1364","2426","2082","1302","1049","59","2475"
"PAN","201309","RIO PIEDRAS 3","19671","53736","6729583","342.11","12196","7470","5","2168","3778","1351","2242","4346","3432","2354","1401","248","5356"
"PAN","201309","TOA BAJA","24866","68787","8358648","336.15","14726","10139","1","2177","4152","1727","2790","5462","4816","3741","2050","21","6333"
"PAN","201309","CAMUY","15624","42513","5172267","331.05","8526","7094","4","1170","2123","973","1810","3659","3575","2314","1841","5","3097"
"PAN","201309","LAJAS","11233","32374","3953158","351.92","6219","5011","3","877","1533","749","1252","2634","2345","1843","959","10","2649"
"PAN","201309","GURABO","11634","32391","3952138","339.71","6601","5033","0","943","1716","706","1228","2527","2557","1957","1115","4","1845"
"PAN","201309","CEIBA","5239","14617","1777248","339.23","3011","2228","0","473","811","325","641","1210","993","786","399","1","622"
"PAN","201309","SAN SEBASTÍAN","20444","55608","6911821","338.09","11303","9137","4","1570","2845","1277","2189","4584","4498","3480","1852","7","4181"
"TANF","201304","CULEBRA","13","17","1156","88.92","5","8","0","0","2","0","0","7","2","2","7","0","0"
"TANF","201305","BAYAMON","2594","5331","360267","138.88","1627","967","0","293","475","142","133","474","496","581","590","7","534"
"TANF","201305","NAGUABO","893","1874","130434","146.06","588","305","0","130","165","50","72","181","185","110","232","5","179"
"TANF","201305","AGUAS BUENAS","641","1259","91618","142.93","389","252","0","68","105","27","30","125","153","133","184","1","129"
"TANF","201305","CAMUY","753","1357","97608","129.63","447","306","0","55","118","30","37","157","203","153","243","0","123"
"TANF","201305","JUANA DIAZ","846","1640","113357","133.99","552","294","0","92","124","30","66","137","188","209","227","0","105"
"TANF","201305","MARICAO","145","309","23681","163.32","93","52","0","16","34","4","8","36","19","28","32","0","22"
"TANF","201210","RIO PIEDRAS","1326","2641","210372","158.65","815","511","0","160","264","47","57","258","240","300","277","45","302"
"PAN","201210","GUAYAMA","17110","48269","4818009","281.59","9589","7517","4","1598","2700","1248","1923","4053","3366","2222","1658","6","1025"
"TANF","201306","ARECIBO","2326","4433","313677","134.86","1482","844","0","209","376","125","150","408","567","491","631","8","420"
"TANF","201306","MAUNABO","390","759","56449","144.74","242","148","0","53","66","19","43","67","78","64","97","0","23"
"TANF","201306","VILLALBA","422","789","52413","124.2","258","164","0","25","42","27","19","80","87","142","116","0","56"
"TANF","201306","VIEQUES","335","701","47206","140.91","210","125","0","46","73","12","23","67","56","58","72","1","51"
"TANF","201306","CAMUY","753","1364","98860","131.29","448","305","0","55","121","29","38","159","199","152","238","0","123"
"TANF","201306","HATILLO","849","1656","121676","143.32","509","340","0","78","137","40","57","175","200","162","246","0","175"
"TANF","201306","SAN LORENZO","905","1452","104543","115.52","558","347","0","43","113","37","38","192","300","182","379","2","119"
"TANF","201306","AGUADILLA","1770","3250","229311","129.55","1052","718","0","167","250","58","116","326","489","364","580","2","181"
"TANF","201306","PATILLAS","563","1078","75107","133.4","326","237","0","47","86","33","39","113","134","111","179","0","39"
"TANF","201306","COROZAL","1049","1654","119455","113.88","591","458","0","53","124","29","48","191","336","268","405","0","82"
"TANF","201306","TOA BAJA","1262","2471","167897","133.04","795","467","0","124","203","61","63","245","299","267","394","0","272"
