"ps","pobl","pmb","area","compl","nro_edif","tiposecurb","urb","ste","nro","nro_apart","tipo_via","calle","sector","cod_post","pais","x","y","lat","lon","location"
"177414","SAN JUAN","HATO REY NORTE",,,,"URB","EL VEDADO",,"204",,"CALLE","RODRIGO DE TRIANA",,"918","PR","239567.1104","264752.4513",,,
"178050","SAN JUAN","HATO REY NORTE",,,,"URB","EL VEDADO",,"205",,"CALLE","RODRIGO DE TRIANA",,"918","PR","239532","264758","18.4181","-66.0592","(18.4181, -66.0592)"
"177979","SAN JUAN","UNIVERSIDAD",,,,"URB","PEREZ MORRIS",,"84",,"CALLE","MAYAGUEZ",,"917","PR","240654","264118","18.4123","-66.0486","(18.4123, -66.0486)"
"177859","SAN JUAN","ORIENTE",,,,"URB","SAN JOSE",,"412",,"CALLE","SARRIA",,"923","PR","241780","264437","18.4151","-66.0379","(18.4151, -66.0379)"
"175082","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1164",,"CALLE","TRINIDAD PADILLA",,"924","PR","246004","263139","18.4033","-65.9979","(18.4033, -65.9979)"
"175064","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1160",,"CALLE","TRINIDAD PADILLA",,"924","PR","245983","263119","18.4031","-65.9981","(18.4031, -65.9981)"
"175059","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"711",,"CALLE","GLORIA CASTAER",,"924","PR","243580","263486","18.4065","-66.0209","(18.4065, -66.0209)"
"175053","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"709",,"CALLE","GLORIA CASTAER",,"924","PR","243568","263486","18.4065","-66.021","(18.4065, -66.021)"
"175045","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"705",,"CALLE","GLORIA CASTAER",,"924","PR","243544","263484","18.4065","-66.0212","(18.4065, -66.0212)"
"175033","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"699",,"CALLE","GLORIA CASTAER",,"924","PR","243504","263485","18.4065","-66.0216","(18.4065, -66.0216)"
