"fch_cerrado","region","oficina","familias"
"201211","CAGUAS              ","SAN LORENZO         ","50.0"
"201303","BAYAMON             ","VEGA ALTA           ","26.0"
"201306","GUAYAMA             ","CAYEY               ","73.0"
"201312","ARECIBO             ","ARECIBO 1           ","79.0"
"201310","CAGUAS              ","GURABO              ","32.0"
"201211","CAROLINA            ","CANOVANAS           ","59.0"
"201401","CAROLINA            ","CANOVANAS           ","45.0"
"201311","ARECIBO             ","HATILLO             ","62.0"
"201311","BAYAMON             ","TOA BAJA 1          ","50.0"
"201404","PONCE               ","AIBONITO            ","44.0"
"201304","HUMACAO             ","NAGUABO             ","29.0"
"201312","HUMACAO             ","JUNCOS              ","39.0"
"201312","BAYAMON             ","VEGA BAJA 1         ","22.0"
"201302","HUMACAO             ","LAS PIEDRAS         ","99.0"
"201303","CAGUAS              ","CAGUAS              ","153.0"
"201406","SAN JUAN            ","GUAYNABO 1          ","44.0"
"201405","HUMACAO             ","JUNCOS              ","45.0"
"201312","GUAYAMA             ","GUAYAMA             ","83.0"
"201301","HUMACAO             ","HUMACAO             ","63.0"
"201309","ARECIBO             ","LARES               ","67.0"
"201308","SAN JUAN            ","RIO PIEDRAS 1       ","21.0"
"201404","AGUADILLA           ","LAS MARÍAS          ","20.0"
"201405","CAGUAS              ","CIDRA               ","39.0"
"201303","CAGUAS              ","GURABO              ","36.0"
"201305","SAN JUAN            ","CUPEY               ","12.0"
"201403","SAN JUAN            ","GUAYNABO 2          ","7.0"
"201404","ARECIBO             ","UTUADO 2            ","15.0"
"201308","MAYAGÜEZ            ","MARICAO             ","9.0"
"201404","HUMACAO             ","JUNCOS              ","49.0"
"201306","CAGUAS              ","BARRANQUITAS        ","44.0"
"201407","AGUADILLA           ","MOCA                ","79.0"
"201302","ARECIBO             ","CAMUY               ","67.0"
"201302","PONCE               ","GUAYANILLA          ","37.0"
"201210","MAYAGÜEZ            ","SAN GERMAN          ","45.0"
"201304","PONCE               ","PEÑUELAS            ","31.0"
"201303","ARECIBO             ","CAMUY               ","56.0"
"201307","SAN JUAN            ","GUAYNABO 1          ","36.0"
"201407","BAYAMON             ","VEGA BAJA 2         ","34.0"
"201212","PONCE               ","GUAYANILLA          ","32.0"
"201306","GUAYAMA             ","SANTA ISABEL        ","51.0"
"201308","GUAYAMA             ","PATILLAS            ","36.0"
"201310","BAYAMON             ","NARANJITO           ","33.0"
"201304","ARECIBO             ","HATILLO             ","29.0"
"201305","AGUADILLA           ","AGUADA              ","44.0"
"201403","CAROLINA            ","LUQUILLO            ","20.0"
"201302","PONCE               ","CASTAÑER            ","5.0"
"201403","HUMACAO             ","HUMACAO             ","87.0"
"201306","AGUADILLA           ","ISABELA             ","84.0"
"201306","MAYAGÜEZ            ","GUANICA             ","46.0"
"201307","PONCE               ","GUAYANILLA          ","46.0"
"201309","PONCE               ","OROCOVIS            ","51.0"
"201404","PONCE               ","VILLALBA            ","50.0"
"201404","SAN JUAN            ","RIO PIEDRAS 1       ","31.0"
"201210","SAN JUAN            ","RIO PIEDRAS 4       ","23.0"
"201306","BAYAMON             ","TOA ALTA            ","37.0"
"201401","GUAYAMA             ","GUAYAMA             ","69.0"
"201308","PONCE               ","PONCE 2             ","71.0"
"201303","ARECIBO             ","CIALES              ","26.0"
"201408","BAYAMON             ","TOA BAJA 2          ","22.0"
"201303","HUMACAO             ","CULEBRA             ","2.0"
"201306","SAN JUAN            ","GUAYNABO 2          ","11.0"
"201301","CAGUAS              ","GURABO              ","37.0"
"201211","HUMACAO             ","HUMACAO             ","61.0"
"201401","MAYAGÜEZ            ","GUANICA             ","31.0"
"201309","SAN JUAN            ","GUAYNABO 1          ","42.0"
"201302","HUMACAO             ","YABUCOA             ","85.0"
"201402","AGUADILLA           ","ISABELA             ","60.0"
"201210","HUMACAO             ","JUNCOS              ","54.0"
"201405","PONCE               ","PONCE 2             ","57.0"
"201402","GUAYAMA             ","GUAYAMA             ","45.0"
"201408","SAN JUAN            ","GUAYNABO 2          ","7.0"
"201404","BAYAMON             ","BAYAMON 3           ","82.0"
"201402","CAROLINA            ","CAROLINA 1          ","39.0"
"201302","BAYAMON             ","VEGA BAJA 2         ","32.0"
"201407","HUMACAO             ","CEIBA               ","14.0"
"201212","DESCONOCIDA         ","DESCONOCIDA         ","19.0"
"201404","ARECIBO             ","ARECIBO 1           ","82.0"
"201309","BAYAMON             ","BAYAMON 2           ","47.0"
"201210","CAROLINA            ","TRUJILLO ALTO       ","45.0"
"201312","MAYAGÜEZ            ","CABO ROJO           ","50.0"
"201306","DESCONOCIDA         ","DESCONOCIDA         ","19.0"
"201312","MAYAGÜEZ            ","SAN GERMAN          ","50.0"
"201312","CAROLINA            ","CAROLINA 2          ","36.0"
"201406","ARECIBO             ","MOROVIS             ","55.0"
"201406","ARECIBO             ","CIALES              ","26.0"
"201212","MAYAGÜEZ            ","SABANA GRANDE       ","32.0"
"201305","GUAYAMA             ","ARROYO              ","45.0"
"201211","ARECIBO             ","ARECIBO 1           ","81.0"
"201311","HUMACAO             ","CULEBRA             ","6.0"
"201409","PONCE               ","CASTAÑER            ","10.0"
"201212","CAROLINA            ","LOIZA               ","21.0"
"201310","SAN JUAN            ","GUAYNABO 2          ","7.0"
"201301","PONCE               ","GUAYANILLA          ","34.0"
