"municipality","tiab_2006_07","tiab_2007_08","tiab_2008_09","tiab_2009_10","tiab_2010_11","tiab_2011_12","ff_2006_07","ff_2007_08","ff_2008_09","ff_2009_10","ff_2010_11","ff_2011_12","ffpti"
"Bayamón","93000000","98000000","119063536","117558313","123230925","121561770","48909670","46650162","53424028","46562573","46549568","46801301","38.5"
"Arecibo","36024333","38629483","44729420","45077626","46704511","45436947","20036525","23444974","22532102","9100496","12100000","19470034","42.9"
"Utuado","10764444","11260926","12480784","11190837","12628147","12878377","11668896","7407906","9705971","9342040","9730356","5999941","46.6"
"Maunabo","7386850","8552892","9384083","7206823","5400000","9020000","2697669","1934424","1402514","1460380","5537495","4342969","48.1"
"Aguadilla","24963150","30000000","30000000","27481474","26789439","27876007","16027468","2588774","14271713","2761447","3482302","13488179","48.4"
"Guayama","20054496","19550361","19519707","19165386","20235145","21524354","1267749","1264026","12582873","13569354","17042208","13662000","63.5"
"Sabana Grande","9641089","9985500","10244254","9755869","10122000","11230746","7641803","9449767","7687223","9966577","9575879","7992099","71.2"
"Orocovis","7651997","8658403","9043894","9340621","10022773","10309477","8419686","8772048","8879210","9285283","9702226","8787700","85.2"
"Yauco","13200309","14626739","15804698","14153546","14746349","14868083","1693467","15539451","12177385","18230504","9881180","22104402","148.7"
"Florida","5731404","6098485","7308737","7258956","6747410","7003844","702413","968851","1686344","941137","1968873",,
"Santa Isabel  1/","8019032","10515699","12024418","11419199","10631413","12004523","3546759","4206208","3971009","1721795","970000",,
,"1942215731","2110741332","2206233631","2199886521","2279391408",,,"525080295","601419540","575510199","511582225","547641413",
,,"168525601","95492299","-6347111","79504887",,,,"76339245","-25909341","-89837315","-27868786",
,,"9","5",,"4",,,,"15",,,,
"TIAB: Total Income Approved Budget",,,,,,,,,,,,,
"FF: Federal Funds",,,,,,,,,,,,,
"FFPTI: Federal Funds as a Proportion of the Total Income",,,,,,,,,,,,,
"Source: Office of the Comptroller",,,,,,,,,,,,,
