"fipstate","fipscty","naics","naics_description","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
"72","Toa Baja","44613/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Alta","621111",,"20-99","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","2 to < 5% noise (medium noise)","176","2 to < 5% noise (medium noise)","760","11","9","0","2","0","0","0","0","0","0","0","0","0","0","6","135"
"72","Toa Baja","445292",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","4441//",,,"2 to < 5% noise (medium noise)","155","2 to < 5% noise (medium noise)","658","2 to < 5% noise (medium noise)","2923","22","11","5","4","2","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Alta","62441/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","6","135"
"72","Trujillo Alto","32561/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","623210",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","42312/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","44711/",,,"0 to < 2% noise (low noise)","210","2 to < 5% noise (medium noise)","546","2 to < 5% noise (medium noise)","2392","12","5","4","2","0","0","1","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","81121/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","425///",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","42449/",,"100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","42393/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","31213/",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","54161/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","323112",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","81112/",,,"0 to < 2% noise (low noise)","39","2 to < 5% noise (medium noise)","163","2 to < 5% noise (medium noise)","684","9","6","2","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","624///",,,"2 to < 5% noise (medium noise)","35","2 to < 5% noise (medium noise)","96","2 to < 5% noise (medium noise)","391","8","3","5","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","327331",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Alta","561612",,,"0 to < 2% noise (low noise)","23","2 to < 5% noise (medium noise)","67","0 to < 2% noise (low noise)","310","3","1","0","2","0","0","0","0","0","0","0","0","0","0","6","135"
"72","Toa Baja","611110",,,"0 to < 2% noise (low noise)","272","0 to < 2% noise (low noise)","1001","0 to < 2% noise (low noise)","4748","11","5","0","1","3","2","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","54121/",,,"2 to < 5% noise (medium noise)","25","0 to < 2% noise (low noise)","92","0 to < 2% noise (low noise)","399","13","12","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","623///",,,"0 to < 2% noise (low noise)","42","0 to < 2% noise (low noise)","93","2 to < 5% noise (medium noise)","521","7","3","3","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","23832/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","448140",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","339///",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","3113//",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","424950",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","61131/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","32621/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","------",,,"0 to < 2% noise (low noise)","8921","0 to < 2% noise (low noise)","30520","0 to < 2% noise (low noise)","130805","571","310","109","84","45","14","7","0","1","1","0","0","1","0","6","139"
"72","Toa Baja","6212//",,,"2 to < 5% noise (medium noise)","51","0 to < 2% noise (low noise)","140","0 to < 2% noise (low noise)","661","15","13","1","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","492///",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","532120",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","621492",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","531190",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","7223//",,,"0 to < 2% noise (low noise)","9","2 to < 5% noise (medium noise)","27","0 to < 2% noise (low noise)","121","3","2","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","561///",,"500-999","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","2 to < 5% noise (medium noise)","1833","2 to < 5% noise (medium noise)","8180","28","16","4","4","1","0","3","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","2361//",,,"0 to < 2% noise (low noise)","60","0 to < 2% noise (low noise)","218","0 to < 2% noise (low noise)","695","15","9","5","1","0","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","42332/",,"100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","6","137"
"72","Toa Alta","624410",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","6","135"
"72","Toa Baja","6213//",,,"0 to < 2% noise (low noise)","31","0 to < 2% noise (low noise)","134","0 to < 2% noise (low noise)","605","8","6","2","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","424430",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","8111//",,,"2 to < 5% noise (medium noise)","87","2 to < 5% noise (medium noise)","291","2 to < 5% noise (medium noise)","1282","30","26","3","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","33995/",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","45321/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","7139//",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","32733/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Alta","62151/",,"20-99","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","2 to < 5% noise (medium noise)","341","2 to < 5% noise (medium noise)","1320","9","4","3","1","0","1","0","0","0","0","0","0","0","0","6","135"
"72","Trujillo Alto","311812",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","2362//",,,"0 to < 2% noise (low noise)","35","2 to < 5% noise (medium noise)","131","2 to < 5% noise (medium noise)","571","5","3","1","0","1","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","443///",,"0-19","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","2 to < 5% noise (medium noise)","106","0 to < 2% noise (low noise)","417","6","5","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","21----",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","23829/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","6231//",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","5312//",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","424710",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","237110",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","4244//",,,"2 to < 5% noise (medium noise)","225","2 to < 5% noise (medium noise)","1908","2 to < 5% noise (medium noise)","7287","5","1","0","1","2","0","1","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","51111/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","238290",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","33792/",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Trujillo Alto","238160",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","337920",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","444///",,,"2 to < 5% noise (medium noise)","155","2 to < 5% noise (medium noise)","658","2 to < 5% noise (medium noise)","2923","22","11","5","4","2","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","813920",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Alta","72----",,,"2 to < 5% noise (medium noise)","171","0 to < 2% noise (low noise)","449","0 to < 2% noise (low noise)","1899","18","8","5","2","2","1","0","0","0","0","0","0","0","0","6","135"
"72","Trujillo Alto","2373//",,"20-99","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","6","139"
"72","Toa Baja","441229",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","621///",,,"0 to < 2% noise (low noise)","330","2 to < 5% noise (medium noise)","1289","0 to < 2% noise (low noise)","6134","67","50","9","6","1","1","0","0","0","0","0","0","0","0","6","137"
"72","Toa Alta","6212//",,,"2 to < 5% noise (medium noise)","35","0 to < 2% noise (low noise)","113","0 to < 2% noise (low noise)","501","7","5","1","1","0","0","0","0","0","0","0","0","0","0","6","135"
"72","Toa Baja","711130",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Alta","561790",,"0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","135"
"72","Toa Alta","62----",,,"2 to < 5% noise (medium noise)","279","2 to < 5% noise (medium noise)","943","2 to < 5% noise (medium noise)","4088","49","30","9","8","1","1","0","0","0","0","0","0","0","0","6","135"
"72","Toa Baja","722212",,,"2 to < 5% noise (medium noise)","71","0 to < 2% noise (low noise)","225","0 to < 2% noise (low noise)","920","10","4","3","3","0","0","0","0","0","0","0","0","0","0","6","137"
"72","Toa Baja","621111",,,"0 to < 2% noise (low noise)","99","0 to < 2% noise (low noise)","389","0 to < 2% noise (low noise)","1772","26","22","1","3","0","0","0","0","0","0","0","0","0","0","6","137"
