"municipio_escolar","municipio_location","autismo","da_o_cerebral_por_trauma","disturbios_emocionales","impedimentos_m_ltiples","impedimentos_visuales","otros_problemas_de_salud","problemas_auditivos","problemas_de_habla_y_lenguaje","problemas_espec_ficos_de_aprendizaje","problemas_ortop_dicos","deficiencia_intelectual","retraso_en_el_desarrollo","sordo_ciego","total","a_o_escolar","pueblo"
"PEÑUELAS","
PEÑUELAS, PR 
(18.057688, -66.722172)","12",,"12","9","2","34","8","288","538",,"94",,,"997","2013-01-01T00:00:00.000","PEÑUELAS"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","105","1","51","22","8","183","8","1082","1064","3","172",,,"2699","2014-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","55","1","52","31","20","119","14","1072","1037","10","123","1",,"2535","2011-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","47","1","36","13","13","168","6","872","1278","8","135",,,"2577","2013-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","25",,"40","7","7","143","6","896","879","5","73",,,"2081","2014-01-01T00:00:00.000","PONCE"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","89","1","45","15","8","187","10","1011","1304","5","212",,,"2887","2013-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","87",,"37","10","9","116","7","943","1018","6","91",,,"2324","2013-01-01T00:00:00.000","PONCE"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","68","3","53","11","10","144","36","906","1260","4","240",,,"2735","2011-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","19",,"65","16","7","84","14","782","1102","13","191",,"1","2294","2011-01-01T00:00:00.000","PONCE"
"PONCE III","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","25",,"45","11","6","115","11","772","1038","7","134",,"1","2165","2012-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","47","1","37","29","14","118","13","1147","983","5","99",,,"2493","2012-01-01T00:00:00.000","PONCE"
"PONCE II","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","41",,"35","5","11","142","4","1163","864","4","53",,,"2322","2014-01-01T00:00:00.000","PONCE"
"PONCE I","
PONCE, PR 
(18.011650011000427, -66.61441997899965)","76","1","51","13","8","160","38","880","1163","2","228",,,"2620","2012-01-01T00:00:00.000","PONCE"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","14","1","44","6","5","155","4","375","549","4","30",,,"1187","2014-01-01T00:00:00.000","QUEBRADILLAS"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","11","1","12","3","6","54","4","255","500","4","52",,,"902","2011-01-01T00:00:00.000","QUEBRADILLAS"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","12","2","28","2","7","85","3","336","582","4","54",,"1","1116","2012-01-01T00:00:00.000","QUEBRADILLAS"
"QUEBRADILLAS","
QUEBRADILLAS, PR 
(18.47400998900042, -66.93762999699965)","13","2","28","4","8","108","4","351","548","6","47",,,"1119","2013-01-01T00:00:00.000","QUEBRADILLAS"
"RINCON","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","9",,"8","3","2","97","4","125","261","2","54",,,"565","2012-01-01T00:00:00.000","RINCON"
"RINCON","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","5",,"5","4","2","105","1","146","214","1","45",,,"528","2014-01-01T00:00:00.000","RINCON"
"RINCÓN","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","6",,"8","2",,"73","4","116","292","2","52",,"1","556","2011-01-01T00:00:00.000","RINCON"
"Rincón","
RINCON, PR 
(18.340189990000454, -67.25041999199965)","6",,"6","3","3","111","2","115","233","1","46",,,"526","2013-01-01T00:00:00.000","RINCON"
"Río Grande","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","41",,"6","18","3","68","4","441","776","4","100",,,"1461","2013-01-01T00:00:00.000","RIO GRANDE"
"RIO GRANDE","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","22",,"8","16","4","82","3","487","632","1","69",,,"1324","2014-01-01T00:00:00.000","RIO GRANDE"
"RIO GRANDE","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","35",,"7","17","2","73","6","491","706","4","95",,"1","1437","2012-01-01T00:00:00.000","RIO GRANDE"
"RÍO GRANDE","
RIO GRANDE, PR 
(18.36151998200046, -67.23753999099966)","31",,"7","20","2","55","6","435","715","5","119",,,"1395","2011-01-01T00:00:00.000","RIO GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","9","2","17","9","5","79","10","304","687","5","85",,,"1212","2011-01-01T00:00:00.000","SABANA GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","8","1","11","4","4","98","2","345","484","3","49",,"1","1010","2014-01-01T00:00:00.000","SABANA GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","19","2","23","10","6","132","5","443","831","5","94",,,"1570","2013-01-01T00:00:00.000","SABANA GRANDE"
"SABANA GRANDE","
SABANA GRANDE, PR 
(18.078060005000452, -66.96184998799964)","11","2","16","7","3","100","8","361","695","6","76",,,"1285","2012-01-01T00:00:00.000","SABANA GRANDE"
